zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,estab_count,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd
1730,17.376380735060142,1.493725463378231,017,25,13221,13.876010038610039,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.5058734993989608,0.4637420308552543,905,1027.1507061014577,42.499331,-71.281905,-71.058701,42.3549,24390.005865717998
1741,29.459876265399316,0.5784922736346089,017,25,4852,15.512764092664092,15.2649,317.8533760456996,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5224,18,0.5336728102706554,0.4881488386827566,137,342.22300833939295,42.53662,-71.361832,-71.058701,42.3549,32081.865894578954
1742,25.322859348134873,0.14675854085985152,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.5152672869789822,0.4767179297366091,1470,782.4076187888205,42.462911,-71.364496,-71.058701,42.3549,27862.055947691584
1746,24.028437515506656,0.5391689149174179,017,25,13547,19.057988416988415,18.644191505791508,726.6069969186838,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14724,40,0.4732973805504981,0.4317513541616474,623,789.7365780343027,42.195951,-71.45343,-71.058701,42.3549,37015.70034938324
1748,24.136976417243076,1.6098131403150875,017,25,14925,27.888745945945946,26.261311196911198,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.48588025480175223,0.4396035357374218,787,670.1112472278171,42.224104,-71.540484,-71.058701,42.3549,42261.66447509179
1749,25.028374129751306,1.5563676073164805,017,25,19063,11.86549111969112,11.521755598455599,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.4394591733679706,0.39078450910668194,904,1726.0390424064972,42.389071,-71.545864,-71.058701,42.3549,40244.96835499293
1752,23.79913325453829,2.2969137551383567,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44190825537981543,0.3940056084353271,2785,1904.399747889119,42.349617,-71.547214,-71.058701,42.3549,40192.741529544925
1754,23.145815752572453,4.595801522996071,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640734,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4760759088362965,0.43866599929467076,410,2062.836509627236,42.425955,-71.456256,-71.058701,42.3549,33629.20019301081
1760,20.944518995974217,0.41520659529052917,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.4882511617157669,0.4499430592656589,2480,2414.56375670613,42.284822,-71.348811,-71.058701,42.3549,25120.736916212853
1770,22.442958579695045,2.6656843535031505,017,25,4119,16.188523552123552,15.817334362934362,260.41050315357063,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4316,24,0.47887851652328167,0.43846159227383597,141,272.8651933990801,42.23357,-71.37469,-71.058701,42.3549,29316.08329458586
1773,22.69999259876506,-0.9520309511339007,017,25,5112,14.38974749034749,13.616227413127413,375.43438758018374,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4884,157,0.5196056251713268,0.4837170723197104,208,358.68966137355585,42.425506,-71.310812,-71.058701,42.3549,22168.031932707785
1775,26.3472461094485,0.746422521651067,017,25,6590,17.98435637065637,17.312626254826256,380.64704355082466,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",7133,27,0.48701605721855185,0.44157687119981104,200,412.0114357584267,42.429688,-71.512514,-71.058701,42.3549,38227.564636222975
1776,25.924272110083386,-0.07130143433628504,017,25,17659,24.719111969111967,24.238655212355212,728.5470190193822,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19122,25,0.52134813199332,0.47847461985446504,938,788.9051530487925,42.383367,-71.42107,-71.058701,42.3549,29970.979802978873
1778,25.125980223547334,1.066271406684635,017,25,13109,16.011227413127415,15.208050965250965,861.9776478887986,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14088,194,0.5160843581456459,0.475600719764874,614,926.3514458354866,42.343687,-71.381186,-71.058701,42.3549,26560.45248627862
1801,20.407599216012752,3.4261323722549712,017,25,38903,12.963816602316601,12.652292664092665,3074.778700812629,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",40359,91,0.4379718751304532,0.39457297427848703,4071,3189.856658512117,42.488659,-71.154425,-71.058701,42.3549,16840.09371248854
