zip,post_pct_change,pre_pct_change,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,price_level,total_deaths,estab_count,deaths_capita,density2019,lon,lat,cbd_lon,cbd_lat,dist_to_cbd
1730,6.29519590485526,3.017033244029201,017,25,13221,13.876010038610039,13.69808725868726,965.1712498484274,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14070,52,0.499425555141144,0.4548664636849508,762556.8333333334,8032.7144784,905,0.5709107660554371,1027.1507061014577,-71.27504,42.496679,-71.057761,42.359184,23516.19119004005
1741,6.84247639094793,2.63530888806839,017,25,4852,15.512764092664092,15.2649,317.8533760456996,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",5224,18,0.5236664805278501,0.4777767092854937,873939.25,3137.13876216,137,0.6005242653445636,342.22300833939295,-71.35084,42.5286,-71.057761,42.359184,30582.725483004673
1742,8.372821572172313,3.851083843579503,017,25,17726,25.745458687258687,24.438667953667952,725.3259479447013,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19121,104,0.51430096401085,0.4741829341860167,991588.75,10891.234308,1470,0.5695954347575963,782.4076187888205,-71.37478,42.457201,-71.057761,42.359184,28249.230344409872
1746,11.47968140041106,6.215489797675736,017,25,13547,19.057988416988415,18.644191505791508,726.6069969186838,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",14724,40,0.4754391405155188,0.43321242725130976,492381.1666666667,8292.672910152,623,0.5632078857750611,789.7365780343027,-71.437970000000007,42.196065,-71.057761,42.359184,36199.41938695379
1748,10.048381306238282,5.151766087501532,017,25,14925,27.888745945945946,26.261311196911198,568.3265351105335,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",17598,30,0.4896848870866832,0.4417768515072622,658849,9994.578886512,787,0.5679383388175929,670.1112472278171,-71.53418,42.220447,-71.057761,42.359184,42162.797210773606
1749,12.038673363709314,7.1501473977575545,017,25,19063,11.86549111969112,11.521755598455599,1654.522163493491,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",19887,23,0.43977144631832327,0.3896402938439992,403866.9166666667,12152.486055792,904,0.6110768872022929,1726.0390424064972,-71.55791,42.389813,-71.057761,42.359184,41272.20858370388
1752,10.866550967374636,5.36017790512867,017,25,38499,22.10125057915058,20.86536718146718,1845.1149057273806,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",39736,24,0.44580766869383986,0.3961132621200474,406143.0833333333,24794.480320596,2785,0.6239802778487015,1904.399747889119,-71.54753,42.350909,-71.057761,42.359184,40300.5074469451
1754,9.523978958159828,4.267140425891124,017,25,10106,5.370381853281853,5.213210038610039,1938.5368947640734,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",10754,29,0.4787718153563911,0.4399629753458734,427783,6428.46967848,410,0.5977747515789473,2062.836509627236,-71.45594,42.430781,-71.057761,42.359184,33690.97909994525
1760,9.478572951822532,3.777329266156556,017,25,32786,15.814033976833977,14.810542857142858,2213.693334285036,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",35761,197,0.48905333326262596,0.4478541571933037,654342.8333333334,20617.7514606,2480,0.576542922753838,2414.56375670613,-71.35368,42.290763,-71.057761,42.359184,25518.116534943965
1770,8.493912289531815,4.541486379923268,017,25,4119,16.188523552123552,15.817334362934362,260.41050315357063,14460,"Boston-Cambridge-Newton, MA-NH Metro Area","Boston, MA",4316,24,0.49833765418402964,0.45784231973611844,833614.1666666666,2134.18934448,141,0.49448316600556064,272.8651933990801,-71.37202,42.231025,-71.057761,42.359184,29548.847844086053
