zip,post_net,post_bus,post_pop,post_temp,post_perm,pre_net,pre_bus,pre_pop,pre_temp,pre_perm,county,state,2010 Population,area,land_area,density,CBSA,MsaName,MetroShort,2019 Population,MOE_2019,wfh_wage,wfh_emp,density2019,lat,lon,cbd_lon,cbd_lat,dist_to_cbd,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
33154,-4.284542845428454,6.6961000735835174,-6.512231788984558,-6.512231788984558,-4.024873582069154,-1.0728440617739512,-1.7660044150110374,-1.216345496788301,-1.216345496788301,-1.913352466858002,086,12,13971,3.2987362934362934,1.7820370656370657,7839.904269895456,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",14634,33,0.39597044195647624,0.34102249553299957,8211.950403382012,25.883337,-80.131831,-80.191803,25.7749,13484.136623374998,1359,0.40753448448417956,0.47032918706254595
33155,-2.756505137610743,-3.7590473966845672,-2.7159619881159234,-2.7159619881159234,-2.702876632987966,-3.385031211789691,-3.7823955171608685,-3.5965420340219234,-3.5965420340219234,-3.518029903254178,086,12,43788,7.937677606177606,7.37983166023166,5933.468677336396,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",46617,1377,0.4149341042008099,0.369964282083774,6316.810754804757,25.736887,-80.310768,-80.191803,25.7749,12655.858711801162,4283,0.39181912350525333,0.44921592080807843
33156,0.3431401802231903,2.3535180191223337,-0.04982992182371547,-0.04982992182371547,0.3938652503431401,0.04177358715760578,5.099289041431724,-0.4911380318672794,-0.4911380318672794,-0.050725070119949874,086,12,31315,14.484235907335908,13.57115444015444,2307.467661508952,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",33514,1096,0.44835790034218803,0.40193965203566173,2469.502513422035,25.668203,-80.29701,-80.191803,25.7749,15887.111306217117,4079,0.48611417617773967,0.5424715591061535
33157,-0.935438440441776,1.4080000000000001,-1.413831443184345,-1.413831443184345,-0.8776221184493366,-1.2408272181454303,0.256,-1.5915795715662293,-1.5915795715662293,-1.2971610703431917,086,12,63226,15.076635907335907,14.819862162162162,4266.301488378726,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",67455,1866,0.38491502571023994,0.34354648519190234,4551.661767288568,25.606126,-80.343496,-80.191803,25.7749,24177.3459760134,3125,0.38127787037759997,0.43835722810079997
33158,3.555418148090895,-4.059040590405904,4.866285360952233,4.866285360952233,3.4472097696707373,3.3390013912505796,0,5.022414592672746,5.022414592672746,2.396042665017777,086,12,6694,3.053045945945946,2.792358301158301,2397.256826684188,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",6469,520,0.4431099397492812,0.40071500990167147,2316.6797746967454,25.63884,-80.311316,-80.191803,25.7749,19315.84071140432,271,0.5516322441254612,0.6063403158819188
33160,0.3937902309731163,9.75609756097561,-0.4182759055913165,-0.4182759055913165,-0.32815852581093025,-0.35340148933484794,9.218077474892397,-1.0887290167865704,-1.0887290167865704,-2.059825823551685,086,12,40053,7.4340100386100385,4.249114671814672,9426.19888930758,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",39615,1191,0.3981514184931487,0.3401999096479035,9323.11859286245,25.933997,-80.135801,-80.191803,25.7749,18577.90448260698,2788,0.43896509961298424,0.5029532524727404
33161,-4.275788348476751,-11.029411764705882,-4.876002137894175,-4.876002137894175,-4.177801532157491,-2.9004097630500625,-4.879679144385027,-3.6987350792802425,-3.6987350792802425,-3.7947621592731156,086,12,53710,5.524578764478765,5.467833204633204,9822.903879819976,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",56130,2001,0.34754451256940394,0.30056746730347755,10265.492362209929,25.893664,-80.181539,-80.191803,25.7749,13260.684977536843,1496,0.4037212209565508,0.4576352356457219
33162,-3.781592852747066,-16.383561643835616,-3.924622795662415,-3.924622795662415,-4.114763491288755,-1.7316384780255927,-9.150684931506849,-1.9402414956602931,-1.9402414956602931,-2.478619782271927,086,12,43539,5.298734749034749,5.194791891891892,8381.278962869776,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",47123,1926,0.35149213970162607,0.3031748466440288,9071.200729628894,25.927997,-80.177175,-80.191803,25.7749,17105.566753707262,1825,0.39560658871780824,0.4522535755939726
33165,-2.2912113503636555,-2.363488182559087,-2.2661316326896204,-2.2661316326896204,-2.3610762781698975,-3.4950377987173513,-1.1817440912795436,-3.776468059188134,-3.776468059188134,-3.520117516391387,086,12,56149,7.870434362934363,7.618431274131274,7370.152460475223,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",55822,1852,0.39803731205480325,0.3523643273231899,7327.230238270457,25.734345,-80.358271,-80.191803,25.7749,17290.10228275174,2454,0.35993437194702527,0.4083589856821516
33166,1.5238642898217367,-6.351532918040796,4.154275856403515,4.154275856403515,0.8338125359401954,-1.3883184095950054,-6.033956272138757,0.19222870286700083,0.19222870286700083,-2.3946438840055864,086,12,23038,10.852313513513513,9.376794594594594,2456.916355326865,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",24346,1023,0.4013209399113962,0.34806676308611234,2596.4096530422717,25.827855,-80.316183,-80.191803,25.7749,13789.168172591963,8187,0.41779030759447905,0.5080705265325516
33167,-1.928869886308425,10.801393728222997,-2.0639393644932467,-2.0639393644932467,-2.108638616266641,-1.749101156350209,0,-2.3831503255271596,-2.3831503255271596,-2.00174910115635,086,12,18846,4.339488416988417,4.144760231660231,4546.9457692733695,33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area","Miami, FL",20582,1771,0.34079770652898966,0.2930900663742535,4965.787850110607,25.884244,-80.236913,-80.191803,25.7749,12984.230512068762,287,0.30865256641811845,0.38434638921254355
