MetroShort,post_pct_change,pre_pct_change,2010 Population,2019 Population,area,land_area,estab_count,density,density2019,AREA,Msa,MsaName,end,teleworkable_manual_emp,teleworkable_manual_wage,wfh_emp,wfh_wage,MetroState
"Birmingham, AL",9.898329425716291,6.169230542322385,1152021,1173400,6054.923454054054,5959.892784169884,42256,193.29559133343668,196.8827364003387,13820,"Birmingham-Hoover, AL",Birmingham-Hoover,AL,0.29884958,0.38673604,0.34709781,0.44548419,AL
"Bismarck, ND",4.886208936001932,2.6851444546641026,110483,127551,4612.329762934363,4553.266646718147,6597,24.26455742046926,28.01307498473317,13900,"Bismarck, ND",Bismarck,ND,0.31134871,0.37883413,0.37784684,0.42710263,ND
"Blacksburg, VA",6.541054949534113,3.701455040301476,171947,176525,1425.2716243243244,1407.226432046332,4937,122.1885803764797,125.44178817285605,13980,"Blacksburg-Christiansburg-Radford, VA",Blacksburg-Christiansburg-Radford,VA,0.24917877,0.33297387,0.29663071,0.35563603,VA
"Bloomington, IL",5.6175264254995225,1.452632980493975,192963,195671,1774.8556868725868,1769.559994980695,6398,109.04575179555025,110.57607572222194,14010,"Bloomington, IL",Bloomington,IL,0.31589025,0.40556529,0.39406082,0.45647529,IL
"Bloomington, IN",9.272204829094651,6.751866342702362,245172,251733,2047.9104602316602,2014.583835907336,7976,121.6985839110431,124.95533594243474,14020,"Bloomington, IN",Bloomington,IN,0.24744318,0.3343347,0.31074828,0.39239019,IN
"Bloomsburg, PA",3.713446033364464,3.9068619306448933,148089,144750,1151.804040926641,1134.1125023166023,4371,130.57699275645496,127.63284039663213,14100,"Bloomsburg-Berwick, PA",Bloomsburg-Berwick,PA,0.26404676,0.30661353,0.30329797,0.33067557,PA
"Boise City, ID",23.393603286065275,9.189094141351568,629930,724156,13028.570476447876,12955.14931119691,35238,48.623908908217864,55.89715584166402,14260,"Boise City, ID",Boise City,ID,0.31831571,0.3940745,0.36559424,0.43833736,ID
"Boston, MA",10.514522361293425,2.1367276944286115,4592369,4872213,3749.0872656370657,3521.3595389961392,228573,1304.1465800760525,1383.6170223586312,71650,"Boston-Cambridge-Nashua, MA-NH",Boston-Cambridge-Nashua,MA-NH,0.38872615,0.50142014,0.44353771,0.55328661,MA
"Boulder, CO",7.715501186065205,2.3118430388937474,395142,441996,1167.7273644787645,1150.4243247104248,29310,343.47500440714504,384.20258552100375,14500,"Boulder, CO",Boulder,CO,0.43129793,0.57092148,0.48474351,0.61478943,CO
"Bowling Green, KY",-1.721182417978993,3.998045713814802,156847,172368,1461.4520965250965,1439.978301158301,5678,108.92316910180811,119.70180374339618,14540,"Bowling Green, KY",Bowling Green,KY,0.23447031,0.28097332,0.28206563,0.32558066,KY
"Bremerton, WA",15.638400573453495,5.647342241320387,271486,288641,574.2508162162162,493.4719737451737,10847,550.1548506181101,584.9187296481657,14740,"Bremerton-Silverdale, WA",Bremerton-Silverdale,WA,0.28252414,0.34823465,0.31175879,0.34425002,WA
"Brownsville, TX",12.824376360287962,5.135580108305398,410201,425767,1241.0831876447876,992.7732362934363,11140,413.18700485067865,428.8663155239965,15180,"Brownsville-Harlingen, TX",Brownsville-Harlingen,TX,0.25531706,0.26489711,0.30608734,0.31644228,TX
"Brunswick, GA",7.950557036323275,1.2130949117860177,135770,139952,1907.1790258687258,1778.7220965250965,5303,76.33008004186807,78.68120617234676,15260,"Brunswick, GA",Brunswick,GA,0.24964367,0.32147658,0.29583165,0.37680805,GA
"Buffalo, NY",11.577468345588532,5.0748834788507535,1117380,1112978,1541.1120007722009,1522.9819756756756,45349,733.6790703017158,730.7886880973913,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Buffalo-Cheektowaga-Niagara Falls,NY,0.3167901,0.38766649,0.37684783,0.43951178,NY
"Burlington, NC",9.892122016065487,6.296751968503937,199001,213938,860.7195888030888,841.5433308880309,7112,236.47148363710042,254.2210153032095,15500,"Burlington, NC",Burlington,NC,0.19653264,0.2714473,0.24157783,0.32238665,NC
"Burlington, VT",6.8084622792169345,3.747947901537122,216015,223947,1352.9890355212356,1335.4994432432431,11040,161.74847626698394,167.687827301633,72400,"Burlington-South Burlington, VT",Burlington-South Burlington,VT,0.3598876,0.44955829,0.39019921,0.46076444,VT
"Canton, OH",10.419726891899243,6.419749429849244,372957,367517,1318.7162907335908,1307.2977857142857,10753,285.28848138163295,281.12722595884674,15940,"Canton-Massillon, OH",Canton-Massillon,OH,0.24656302,0.28945863,0.30344361,0.33738163,OH
"Cape Girardeau, MO",4.983576636632695,6.941197149234081,138784,138189,2448.0041285714287,2408.449701158301,5317,57.62379008091981,57.376743194404455,16020,"Cape Girardeau, MO-IL",Cape Girardeau,MO-IL,0.23614335,0.28795466,0.29438105,0.34754267,MO
"Carbondale, IL",3.1594634873323395,2.855665511362764,73179,70586,834.4669876447877,810.6023281853281,2223,90.27731287649235,87.07845702592395,16060,"Carbondale-Marion, IL",Carbondale-Marion,IL,0.2718322,0.28920606,0.33472568,0.34047267,IL
"Carson City, NV",10.302383631628388,5.690334014873524,61818,61773,134.78498764478763,133.7298640926641,3719,462.26024694951514,461.92374769181146,16180,"Carson City, NV",Carson City,NV,0.32205141,0.42105901,0.37266412,0.46918952,NV
"Casper, WY",2.6812130177514795,5.328587037940584,76361,81238,6232.025371042471,6199.776769498069,4903,12.316733785591145,13.103375011771107,16220,"Casper, WY",Casper,WY,0.2088577,0.29577693,0.27477163,0.35980937,WY
"Cedar Rapids, IA",5.366746800152435,2.5482835017577967,279353,291239,2738.8703277992277,2723.727970656371,10913,102.56273864701724,106.92661056376217,16300,"Cedar Rapids, IA",Cedar Rapids,IA,0.34184426,0.4455798,0.38302651,0.47254372,IA
"Chambersburg, PA",10.076291701436702,2.0548171113823015,172509,177891,933.2700413127413,931.8427108108108,5337,185.12673651747218,190.90238935840821,16540,"Chambersburg-Waynesboro, PA",Chambersburg-Waynesboro,PA,0.21368144,0.26543382,0.26416573,0.30643332,PA
"Champaign, IL",5.5281336080259145,1.5219088348097614,235376,242758,2175.375814285714,2172.3448362934364,7290,108.35112182355465,111.74929318045373,16580,"Champaign-Urbana, IL",Champaign-Urbana,IL,0.31590319,0.38879833,0.38203219,0.43962622,IL
"Charleston, SC",8.10273899751936,2.6643959090126734,677976,788015,3217.342466795367,2934.4360714285713,35181,231.04132565748517,268.54052390937613,16700,"Charleston-North Charleston, SC",Charleston-North Charleston,SC,0.28707051,0.36801305,0.33705798,0.40912122,SC
"Charleston, WV",3.2426241162763145,-1.329006335960439,330330,316544,3075.197446332046,3052.8887413127413,8747,108.20243644318272,103.68671341225694,16620,"Charleston, WV",Charleston,WV,0.29985622,0.37337601,0.36730754,0.4355419,WV
"Charlotte, NC",11.297151803549257,5.668462008863933,1891743,2172467,3781.6736463320462,3713.8822401544403,96335,509.3707548253691,584.9585042065466,16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,NC-SC,0.32954726,0.4663735,0.37868536,0.5115307,NC
"Charlottesville, VA",4.740852991295607,3.2385114849802132,241467,257717,2521.063824710425,2500.4962814671812,10638,96.56763010993873,103.06634003422033,16820,"Charlottesville, VA",Charlottesville,VA,0.31150833,0.4031747,0.37483799,0.47524747,VA
"Chattanooga, TN",12.647127934548097,4.241173439833264,617809,647757,2816.9416864864866,2759.211157915058,20403,223.90783620447334,234.76166299989325,16860,"Chattanooga, TN-GA",Chattanooga,TN-GA,0.27364412,0.35716042,0.31837744,0.39439443,TN
"Cheyenne, WY",1.7524876823495315,7.908814589665654,91757,98336,2704.7441884169884,2703.091316988417,5704,33.945209110518995,36.379089149514435,16940,"Cheyenne, WY",Cheyenne,WY,0.29543009,0.36313167,0.3659654,0.43445104,WY
"Chicago, IL",7.4811518404673425,0.9718134198054378,9658114,9701082,8746.601874131275,8595.591525868726,452192,1123.6124903019852,1128.6113318442674,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago-Naperville-Elgin,IL-IN-WI,0.33973619,0.44786832,0.39180052,0.49589816,IL
"Chico, CA",6.789085492133852,5.632068700967654,251601,259686,1785.1164702702702,1743.8706235521236,8918,144.27733147285267,148.91356990178582,17020,"Chico, CA",Chico,CA,0.27392867,0.30926758,0.31886956,0.34933722,CA
"Cincinnati, OH",12.1787603701069,4.1996066993097445,2346068,2407841,6631.198608108108,6541.125718532819,84301,358.66425764497086,368.10804494674676,17140,"Cincinnati, OH-KY-IN",Cincinnati,OH-KY-IN,0.31457672,0.41423383,0.36198092,0.45618263,OH
