zip,estab_count,teleworkable_emp_mean,teleworkable_wage_mean
11417,766,0.23805788776240208,0.28725628129112274
11418,1488,0.30186005274462363,0.35494406398319894
11419,1617,0.2526701637458256,0.3030905976209029
11420,898,0.25718095093541204,0.30643284277505567
11421,1044,0.26405006213505744,0.3114610698409962
11422,597,0.3003253948559464,0.351085275919598
11423,710,0.3029496141253521,0.34843625167605635
11426,533,0.30647464967166976,0.3570017373302064
11427,433,0.30738293754503465,0.35556453493995377
11428,558,0.30142352910394266,0.3510164710232975
11429,398,0.26703067699497485,0.31771244467839194
11430,521,0.24605160990786948,0.34131774173896356
11432,2668,0.2981359949643928,0.3461106270322339
11433,523,0.2565483509751434,0.31930095048948376
11434,1897,0.2938542119472852,0.3558864828328941
11435,1821,0.2937394125738605,0.34884846224931354
11436,192,0.20499579780729169,0.2516763696197917
11439,50,0.017568879,0.038011037
11501,2319,0.45427769556877967,0.5132651186860716
11507,516,0.336949857622093,0.3883972414418605
11509,90,0.3075165461444444,0.35870214198888895
11510,1413,0.3438088938874735,0.39796485117975944
11514,672,0.3674398710892857,0.42583655412202387
11516,1065,0.39268752600938966,0.4462469752037559
11518,445,0.37125070547415734,0.42432172862471906
11520,2404,0.33098729469342764,0.3897777258876872
11530,4282,0.4853741629628678,0.5376317342283979
11542,1708,0.3204349907857143,0.3779944475128806
11545,800,0.43453359172125,0.49442936447125
11547,36,0.42826896333333336,0.48484894500000003
11548,291,0.29482849049484533,0.3473228204158076
11549,10,0.7679682750000001,0.720295853
11550,2357,0.3075343794611795,0.3589784551663131
11552,1138,0.31038948183128295,0.3646777615289983
11553,905,0.32188356432486187,0.3725864967082873
11554,1880,0.37329998443670215,0.4277284335404255
11555,9,0.8309543933333333,0.8882342966666665
11556,220,0.6111695362045455,0.6881027734318182
11557,803,0.3785782230933998,0.43260131599750934
11558,521,0.30269141242610365,0.3572410449443378
11559,817,0.38963915564137086,0.4481769185373317
11560,551,0.4179992708166969,0.480980829353902
11561,1667,0.383867868539892,0.4398148888320336
11563,1698,0.3676618046219082,0.42353814997938755
11565,273,0.39435995621245423,0.44746129398534795
11566,1998,0.3689954687637638,0.4216490098903904
11568,163,0.4024910460429448,0.456429829601227
11569,34,0.26013888855882356,0.2879709271470588
11570,2235,0.40107057014317676,0.44787215136599556
11571,3,0.017568879,0.038011037
11572,2073,0.32835420164930057,0.38737316681813794
11575,342,0.25344476075731,0.3077737554590643
11576,910,0.4351287214142857,0.48676887352197806
11577,1000,0.400017822894,0.449965680265
11579,262,0.4237523602480916,0.47588692017175577
11580,2046,0.34571156214809384,0.39867990468377323
11581,1309,0.3557255499228419,0.4101370140672269
11582,13,0.2763032723076923,0.33405339307692306
11590,3226,0.36100890271791697,0.42310273802448856
11596,680,0.36426462277058824,0.40781164447941176
11598,831,0.45335905056678705,0.508428850723225
11691,950,0.28648105839157895,0.32858180792947367
11692,135,0.29885807311851853,0.3487572134296296
