COUNTY,ZIP,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01035,36460,0.002195260,0.006925210,0.000000000,0.002535390
01035,36454,0.005892550,0.004155120,0.011236000,0.005810270
01035,36426,0.010976300,0.008310200,0.000000000,0.010669800
01035,36475,0.087579434,0.022160700,0.022471900,0.081977604
01035,36033,0.006123630,0.001385040,0.000000000,0.005704630
01035,36421,0.013402700,0.004155120,0.000000000,0.012571300
01035,36432,0.227960716,0.076177285,0.044943800,0.214663004
01035,36401,0.576545350,0.864265928,0.898876404,0.601521234
01035,36474,0.008434400,0.001385040,0.000000000,0.007817500
01037,35010,0.171556199,0.061433400,0.172413793,0.167809413
01037,35183,0.050706300,0.061433400,0.000000000,0.050900600
01037,35150,0.015936300,0.034129700,0.000000000,0.016502000
01037,35089,0.148738380,0.184300341,0.275862069,0.150377687
01037,35046,0.018230100,0.017064800,0.000000000,0.018129000
01037,35072,0.180369431,0.204778157,0.344827586,0.181754794
01037,35136,0.141373898,0.266211604,0.137931034,0.145613016
01037,36080,0.001207290,0.000000000,0.000000000,0.001162120
01037,36026,0.060123100,0.037542700,0.068965517,0.059384100
01037,35151,0.211759025,0.133105802,0.000000000,0.208367228
01039,36477,0.000263320,0.000396511,0.000000000,0.000273309
01039,36483,0.008909000,0.002775570,0.000000000,0.008199300
01039,36028,0.029930700,0.007137190,0.000000000,0.027330900
01039,36038,0.000000000,0.000000000,0.006578950,0.000078088
01039,36323,0.000043887,0.000396511,0.000000000,0.000078088
01039,36442,0.098657070,0.129262490,0.230263158,0.103232860
01039,36453,0.001009390,0.000396511,0.000000000,0.000937061
01039,36467,0.238128676,0.232355274,0.256578947,0.237779166
01039,36420,0.310278241,0.501982554,0.358552632,0.329728252
01039,36455,0.000000000,0.000396511,0.000000000,0.000039044
01039,36474,0.071447380,0.016256900,0.003289470,0.065203811
01039,36476,0.000000000,0.000396511,0.000000000,0.000039044
01039,36456,0.004125340,0.001586040,0.000000000,0.003826330
01039,36421,0.237207057,0.106661380,0.144736842,0.223254724
01041,36028,0.072832633,0.030441400,0.041666700,0.069464695
01041,36049,0.396773094,0.741248097,0.673611111,0.424494897
01041,36034,0.006022040,0.000000000,0.006944440,0.005623830
01041,36009,0.156913987,0.059360700,0.173611111,0.150489481
01041,36041,0.104988070,0.066971081,0.020833300,0.101124766
01041,36467,0.000795364,0.000000000,0.000000000,0.000729015
01041,36037,0.002840590,0.003044140,0.000000000,0.002811910
01041,36032,0.000113623,0.000000000,0.000000000,0.000104145
